Date/Time,ISS Latitude,ISS Longitude,MI_X (µT),MI_Y (µT),MI_Z (µT),Temperature (°C)
2021-04-22 15:01:08.798786,32.08450285252766,-28.402325672858986,-32.25958251953125,15.491316795349121,57.60660934448242,29.9708
2021-04-22 15:01:19.269608,31.599156440295726,-27.837260707729246,-31.855825424194336,16.037656784057617,57.63742446899414,29.9527
2021-04-22 15:01:29.727654,31.15542978577126,-27.329092925933004,-31.548099517822266,16.356510162353516,57.69268798828125,29.9708
2021-04-22 15:01:40.217802,30.664660203338336,-26.776050801289777,-31.144227981567383,16.778676986694336,57.63720703125,29.8626
2021-04-22 15:01:50.680053,30.21614217111111,-26.27856543535544,-30.694244384765625,17.01879119873047,57.5843505859375,30.0068
2021-04-22 15:02:01.213367,29.720243116611503,-25.737006566254298,-30.42296028137207,17.341838836669922,57.52566909790039,29.9167
2021-04-22 15:02:11.767636,29.26719666896456,-25.249718672750785,-30.13228416442871,17.723072052001953,57.51557922363281,29.9347
2021-04-22 15:02:22.239262,28.766458425437996,-24.71911201198376,-29.8111572265625,18.054433822631836,57.672916412353516,29.9527
2021-04-22 15:02:32.717769,28.309137986917914,-24.241545185216467,-29.40142059326172,18.418996810913086,57.71735763549805,29.8986
2021-04-22 15:02:43.197840,27.8038337619312,-23.72137334595393,-28.949337005615234,18.759523391723633,57.76496505737305,29.9888
2021-04-22 15:02:53.659156,27.34248009670623,-23.253063133059296,-28.614416122436523,19.015460968017578,57.79173278808594,29.9347
2021-04-22 15:03:04.169065,26.832871144995114,-22.74282238884996,-28.17625617980957,19.455116271972656,57.59336471557617,29.9167
2021-04-22 15:03:14.657364,26.36771647949703,-22.283311167153595,-27.75541877746582,19.68150520324707,57.54115676879883,29.8806
2021-04-22 15:03:25.120554,25.854050395418927,-21.782506329282626,-27.595680236816406,19.8309326171875,57.64093780517578,29.9527
2021-04-22 15:03:35.618153,25.385316710795756,-21.33135525913036,-27.034103393554688,20.445711135864258,57.727569580078125,29.9167
2021-04-22 15:03:46.097047,24.86782913587703,-20.839504799261277,-26.612592697143555,20.819271087646484,57.8995246887207,29.8806
2021-04-22 15:03:56.577347,24.39572646044575,-20.39627845609352,-26.22321128845215,20.853166580200195,57.82148742675781,29.9347
2021-04-22 15:04:07.087687,23.8746462060236,-19.91291450626818,-25.851985931396484,21.273916244506836,57.75350570678711,29.9167
2021-04-22 15:04:17.577339,23.39937944545931,-19.47719283345097,-24.757049560546875,21.58799934387207,57.588897705078125,29.8986
2021-04-22 15:04:28.069126,22.87492337003988,-19.00185777099498,-24.430517196655273,21.881244659423828,57.397438049316406,29.9888
2021-04-22 15:04:38.548662,22.39668206209205,-18.573232664725417,-24.213773727416992,22.059886932373047,57.32316970825195,29.8626
2021-04-22 15:04:49.058456,21.869058486445027,-18.10548081979543,-23.922119140625,22.404157638549805,57.200706481933594,29.9347
2021-04-22 15:04:59.558495,21.388030461315832,-17.683551006459773,-23.494003295898438,22.811311721801758,57.32228088378906,29.8445
2021-04-22 15:05:10.098069,20.85743916847444,-17.22295036959079,-23.220617294311523,23.173721313476562,56.819942474365234,29.8986
2021-04-22 15:05:20.570878,20.373800303535006,-16.80732823595364,-22.847488403320312,23.432661056518555,56.60014724731445,29.9167
2021-04-22 15:05:31.097594,19.840432538796005,-16.353457042964415,-22.43726348876953,23.84033203125,56.66041946411133,29.8806
2021-04-22 15:05:41.615008,19.354353588775584,-15.943765221074125,-22.04607391357422,24.194229125976562,56.54868698120117,29.9708
