Date/Time,ISS Latitude,ISS Longitude,MI_X (µT),MI_Y (µT),MI_Z (µT),Tot_MI,Temperature (°C)
03:04.2,26.83287114,-22.74282239,-28.17625618,19.45511627,57.59336472,60.55840943,29.9167
03:14.7,26.36771648,-22.28331117,-27.75541878,19.6815052,57.54115677,60.58540212,29.8806
03:25.1,25.8540504,-21.78250633,-27.59568024,19.83093262,57.64093781,60.73012366,29.9527
03:35.6,25.38531671,-21.33135526,-27.03410339,20.44571114,57.72756958,61.02020395,29.9167
03:46.1,24.86782914,-20.8395048,-26.6125927,20.81927109,57.89952469,61.31218814,29.8806
03:56.6,24.39572646,-20.39627846,-26.22321129,20.85316658,57.82148743,61.25321015,29.9347
04:07.1,23.87464621,-19.91291451,-25.85198593,21.27391624,57.75350571,61.33673408,29.9167
04:17.6,23.39937945,-19.47719283,-24.75704956,21.58799934,57.58889771,61.30061831,29.8986
04:28.1,22.87492337,-19.00185777,-24.4305172,21.88124466,57.39743805,61.22764282,29.9888
04:38.5,22.39668206,-18.57323266,-24.21377373,22.05988693,57.32316971,61.22393832,29.8626
04:49.1,21.86905849,-18.10548082,-23.92211914,22.40415764,57.20070648,61.23679435,29.9347
04:59.6,21.38803046,-17.68355101,-23.4940033,22.81131172,57.32228088,61.50370578,29.8445
05:10.1,20.85743917,-17.22295037,-23.22061729,23.17372131,56.81994247,61.17439501,29.8986
05:20.6,20.3738003,-16.80732824,-22.8474884,23.43266106,56.60014725,61.07224234,29.9167
05:31.1,19.84043254,-16.35345704,-22.43726349,23.84033203,56.66041946,61.288884,29.8806
05:41.6,19.35435359,-15.94376522,-22.04607391,24.19422913,56.54868698,61.32755211,29.9708
05:52.1,18.81839377,-15.49621195,-21.72049141,24.53388214,56.34222794,61.27509715,29.9888
06:02.6,18.33003866,-15.09208161,-21.31101036,24.80293846,56.33823776,61.3829926,29.9167
06:13.1,17.79166266,-14.6504467,-20.85791969,25.05592155,56.29926682,61.45363072,29.9347
06:23.7,17.30119019,-14.25151926,-20.39373779,25.5276413,56.16931152,61.53257909,30.0068
06:34.1,16.76056876,-13.81541424,-19.96383667,25.7070961,56.01086044,61.46631143,29.8445
06:44.6,16.2681292,-13.42133879,-19.54482079,26.00830078,55.58293915,61.2074343,29.9347
06:55.1,15.72542627,-12.99038289,-19.00857735,26.43107224,55.63925171,61.44362728,29.8986
07:05.7,15.23116817,-12.60081878,-18.71217537,26.90161705,55.43265152,61.46351502,29.9347
07:16.1,14.68654425,-12.17464059,-18.29389191,27.28613663,55.44574356,61.64795081,29.9527
07:26.6,14.19060849,-11.78925399,-17.83833885,27.4630394,55.24465942,61.54959455,29.9167
07:37.1,13.64421384,-11.36749152,-17.22852135,27.62439537,54.80920792,61.23665545,29.8986
